Результаты решения краевой задачи:
x		Численное решение	Аналитическое решение	Аппроксимация 1-го порядка	Аппроксимация 2-го порядка
--------------------------------------------------------------------------------------------------------
 0.082		     1.03555137		     1.03438430		     0.87542213		     2.31531941
 0.083		     1.03642680		     1.03523288		     0.87773198		     2.30985248
 0.084		     1.03730453		     1.03608347		     0.88003640		     2.30442086
 0.085		     1.03818456		     1.03693607		     0.88233543		     2.29902438
 0.086		     1.03906690		     1.03779069		     0.88462909		     2.29366285
 0.087		     1.03995153		     1.03864731		     0.88691743		     2.28833612
 0.088		     1.04083845		     1.03950592		     0.88920047		     2.28304402
 0.089		     1.04172765		     1.04036653		     0.89147826		     2.27778637
 0.090		     1.04261913		     1.04122913		     0.89375082		     2.27256302
 0.091		     1.04351288		     1.04209372		     0.89601819		     2.26737379
 0.092		     1.04440889		     1.04296028		     0.89828041		     2.26221852
 0.093		     1.04530718		     1.04382882		     0.90053751		     2.25709705
 0.094		     1.04620771		     1.04469932		     0.90278952		     2.25200922
 0.095		     1.04711050		     1.04557180		     0.90503647		     2.24695486
 0.096		     1.04801554		     1.04644623		     0.90727841		     2.24193380
 0.097		     1.04892282		     1.04732262		     0.90951535		     2.23694590
 0.098		     1.04983233		     1.04820096		     0.91174734		     2.23199099
 0.099		     1.05074408		     1.04908125		     0.91397441		     2.22706890
 0.100		     1.05165805		     1.04996348		     0.91619659		     2.22217949
 0.101		     1.05257425		     1.05084765		     0.91841392		     2.21732260
 0.102		     1.05349266		     1.05173375		     0.92062641		     2.21249806
 0.103		     1.05441329		     1.05262178		     0.92283412		     2.20770572
 0.104		     1.05533613		     1.05351174		     0.92503707		     2.20294542
 0.105		     1.05626116		     1.05440361		     0.92723528		     2.19821702
 0.106		     1.05718840		     1.05529741		     0.92942880		     2.19352036
 0.107		     1.05811783		     1.05619311		     0.93161766		     2.18885528
 0.108		     1.05904944		     1.05709072		     0.93380188		     2.18422163
 0.109		     1.05998325		     1.05799024		     0.93598150		     2.17961926
 0.110		     1.06091923		     1.05889165		     0.93815655		     2.17504802
 0.111		     1.06185738		     1.05979496		     0.94032705		     2.17050776
 0.112		     1.06279771		     1.06070017		     0.94249305		     2.16599832
 0.113		     1.06374020		     1.06160725		     0.94465457		     2.16151957
 0.114		     1.06468486		     1.06251623		     0.94681164		     2.15707135
 0.115		     1.06563167		     1.06342708		     0.94896430		     2.15265352
 0.116		     1.06658063		     1.06433980		     0.95111256		     2.14826593
 0.117		     1.06753175		     1.06525440		     0.95325647		     2.14390843
 0.118		     1.06848500		     1.06617086		     0.95539605		     2.13958088
 0.119		     1.06944040		     1.06708919		     0.95753134		     2.13528313
 0.120		     1.07039793		     1.06800937		     0.95966235		     2.13101504
 0.121		     1.07135759		     1.06893141		     0.96178913		     2.12677647
 0.122		     1.07231938		     1.06985530		     0.96391169		     2.12256727
 0.123		     1.07328329		     1.07078104		     0.96603008		     2.11838731
 0.124		     1.07424932		     1.07170863		     0.96814432		     2.11423644
 0.125		     1.07521747		     1.07263805		     0.97025443		     2.11011452
 0.126		     1.07618772		     1.07356931		     0.97236045		     2.10602142
 0.127		     1.07716008		     1.07450240		     0.97446241		     2.10195698
 0.128		     1.07813455		     1.07543733		     0.97656033		     2.09792109
 0.129		     1.07911111		     1.07637407		     0.97865425		     2.09391359
 0.130		     1.08008976		     1.07731264		     0.98074418		     2.08993436
 0.131		     1.08107050		     1.07825303		     0.98283016		     2.08598325
 0.132		     1.08205333		     1.07919523		     0.98491222		     2.08206013
 0.133		     1.08303825		     1.08013925		     0.98699039		     2.07816486
 0.134		     1.08402524		     1.08108507		     0.98906469		     2.07429732
 0.135		     1.08501430		     1.08203270		     0.99113514		     2.07045737
 0.136		     1.08600544		     1.08298212		     0.99320179		     2.06664487
 0.137		     1.08699864		     1.08393335		     0.99526465		     2.06285969
 0.138		     1.08799390		     1.08488637		     0.99732375		     2.05910170
 0.139		     1.08899123		     1.08584117		     0.99937912		     2.05537078
 0.140		     1.08999061		     1.08679777		     1.00143079		     2.05166678
 0.141		     1.09099204		     1.08775615		     1.00347878		     2.04798959
 0.142		     1.09199552		     1.08871631		     1.00552312		     2.04433907
 0.143		     1.09300104		     1.08967825		     1.00756383		     2.04071509
 0.144		     1.09400860		     1.09064197		     1.00960095		     2.03711752
 0.145		     1.09501820		     1.09160745		     1.01163449		     2.03354625
 0.146		     1.09602984		     1.09257471		     1.01366450		     2.03000114
 0.147		     1.09704350		     1.09354373		     1.01569098		     2.02648207
 0.148		     1.09805919		     1.09451451		     1.01771397		     2.02298890
 0.149		     1.09907691		     1.09548704		     1.01973349		     2.01952153
 0.150		     1.10009664		     1.09646134		     1.02174957		     2.01607981
 0.151		     1.10111839		     1.09743739		     1.02376223		     2.01266364
 0.152		     1.10214215		     1.09841518		     1.02577150		     2.00927289
